id,title,status,category,parties,rights_affected,money_fields,rights_grant_notes,control_fields,intake_questions,template_file,questionnaire_file,github_template_link,github_questionnaire_link,github_yaml_link,risk_1_severity,risk_1_text,risk_2_severity,risk_2_text,risk_3_severity,risk_3_text,risk_4_severity,risk_4_text
artist-booking-agreement,Artist Booking Agreement (Show/Event),sourced,management_and_booking,Band | Operator,income_royalty_recoupment | liability_indemnification_insurance | dispute_resolution_governing_law,"Guaranteed fee, deposit, and balance due date | Percentage of door/ticket sales, if applicable, and how it's verified | Who covers travel/lodging","Confirms this is a one-off (or short run) live performance service, not an ongoing exclusive booking relationship",Set time and length | Merch selling rights at the venue and any commission the venue takes | Recording/broadcast rights for the performance — does the artist retain rights to any recording of the show?,"What's the date, venue, fee, and payment structure (flat guarantee vs. door split)? | What deposit is required and when is the balance due? | Does the promoter want to record or livestream the show? If so, on what terms? | What are the merch terms at this show?",artist-booking-agreement.md,artist-booking-agreement-questionnaire.md,https://github.com/[YOUR-REPO]/blob/main/skills/music-contract-agent/references/templates/artist-booking-agreement.md,https://github.com/[YOUR-REPO]/blob/main/skills/music-contract-agent/references/questionnaires/artist-booking-agreement-questionnaire.md,https://github.com/[YOUR-REPO]/blob/main/skills/music-contract-agent/references/contracts/artist-booking-agreement.yaml,yellow,no deposit required — increases risk of a no-pay cancellation.,yellow,broad recording/broadcast rights grant to the venue/promoter with no artist approval or compensation for later use.,,,,
artist-label-recording-agreement,Artist / Label Recording Agreement,sourced,recording_and_production,Artist | Label,sound_recording_master | income_royalty_recoupment | approvals_creative_control | term_renewal_termination,"Advance amount and recoupment structure | Royalty rate (% of net receipts) and how it's calculated | Recording fund / budget and whether unspent funds go to the artist | Whether costs (video, marketing, tour support) are recoupable or cross-collateralized against other income","Who owns the masters — Label (traditional deal), Artist with a license to Label (artist-friendly/distribution deal), or a joint venture | Territory and format (all media now known or later devised is broad — flag it) | Whether rights are exclusive to this label or the artist can also self-release other work","Album/song delivery commitment (how many records, minimum length/quality standard) | Creative control over artwork, singles, mixing/mastering, release timing | Options: does the label have the right to pick up further albums, and on what terms? | Term and what happens if the label doesn't release the record within X months (reversion)","Does the artist want to keep master ownership (distribution-style deal) or is a traditional ownership transfer acceptable given the advance/support offered? | What advance, if any, is on the table, and what specifically does it need to cover? | How many albums/songs is this deal for, and is there an option for more? | What happens if the label doesn't release the music — is there a release deadline with reversion rights? | What creative approvals does the artist want to keep (single choice, artwork, video treatment)?",artist-label-recording-agreement.md,artist-label-recording-agreement-questionnaire.md,https://github.com/[YOUR-REPO]/blob/main/skills/music-contract-agent/references/templates/artist-label-recording-agreement.md,https://github.com/[YOUR-REPO]/blob/main/skills/music-contract-agent/references/questionnaires/artist-label-recording-agreement-questionnaire.md,https://github.com/[YOUR-REPO]/blob/main/skills/music-contract-agent/references/contracts/artist-label-recording-agreement.yaml,red,perpetual or 'life of copyright' master ownership transfer with no reversion.,red,"cross-collateralization across unrelated projects (video costs recouped from touring, etc.).",yellow,"vague 'all rights in all media now known or hereafter devised, throughout the universe' language — push for defined scope.",yellow,open-ended multi-album options with no minimum advance guaranteed for later albums.
artist-management-agreement,Artist Management Agreement,sourced,management_and_booking,Artist | Manager,income_royalty_recoupment | term_renewal_termination | exclusivity_noncompete,"Commission rate (typically 15-20% of gross income) | What income is commissionable (recording, publishing, touring, merch, brand deals, sync) | What is excluded (e.g., pre-existing deals, songwriting-only income if a separate publisher exists) | Commission on income earned after termination (post-term/sunset commission) and for how long","Manager is NOT granted ownership of masters or compositions — management is a service, not an ownership stake | Power of attorney scope, if any — should be narrow (signing on artist's behalf only for specifically listed acts)","Exclusivity: is the Manager the artist's only manager, or only for certain territories/activities? | Term length and whether there are renewal options tied to performance benchmarks | Termination triggers: for cause (breach, fraud, inactivity) and for convenience (notice period) | Key-person clause if signing with a management company, not an individual","Is this a new relationship or formalizing an existing informal one? (If informal, note the actual start date — commission disputes often hinge on this.) | What commission rate did they agree on verbally, if any? | Is the manager an individual or does the artist need to contract with their company? | Does the artist already have a separate publisher, booking agent, or label? (affects what's commissionable and avoids double-commissioning) | How long should the initial term run, and should renewal depend on the manager hitting specific milestones (e.g., securing a certain amount of income)?",artist-management-agreement.md,artist-management-agreement-questionnaire.md,https://github.com/[YOUR-REPO]/blob/main/skills/music-contract-agent/references/templates/artist-management-agreement.md,https://github.com/[YOUR-REPO]/blob/main/skills/music-contract-agent/references/questionnaires/artist-management-agreement-questionnaire.md,https://github.com/[YOUR-REPO]/blob/main/skills/music-contract-agent/references/contracts/artist-management-agreement.yaml,red,"commission on ALL income for life, or with no sunset after termination.",red,"manager also acting as booking agent, label, or publisher without disclosure — commission stacking.",yellow,automatic renewal options with no artist opt-out or performance trigger.,yellow,broad power of attorney allowing the manager to sign contracts or spend money without artist sign-off.
booking-agent-agreement,Booking / Talent Agent Agreement,sourced,management_and_booking,Artist | Agent,income_royalty_recoupment | exclusivity_noncompete | term_renewal_termination,"Commission rate on gross performance fees (industry norm ~10-20%) | Who pays deposit/travel/rider costs and whether they're deducted before or after commission | Minimum guarantee or fee floor the agent must secure, if any",Agent is granted the right to solicit and negotiate performance offers on artist's behalf — not ownership of anything,"Exclusive vs. non-exclusive, and for which territory (city/region/country/worldwide) | Whether the artist must run other offers through the agent or can self-book certain shows | Term and notice period to terminate | Whether the agent needs artist sign-off before accepting an offer, or has standing authority up to a certain fee","What territory does this agent actually work — local, regional, national, international? | Should the artist be able to book shows themselves without commission, or is everything exclusive? | What's the agreed commission percentage, and is it before or after travel/production costs? | Is there a minimum number of shows/income the agent must deliver to keep the exclusive?",booking-agent-agreement.md,booking-agent-agreement-questionnaire.md,https://github.com/[YOUR-REPO]/blob/main/skills/music-contract-agent/references/templates/booking-agent-agreement.md,https://github.com/[YOUR-REPO]/blob/main/skills/music-contract-agent/references/questionnaires/booking-agent-agreement-questionnaire.md,https://github.com/[YOUR-REPO]/blob/main/skills/music-contract-agent/references/contracts/booking-agent-agreement.yaml,yellow,worldwide exclusivity when the agent only actually has relationships in one region.,yellow,no minimum activity requirement — agent can sit on exclusive rights without booking anything.,red,agent given authority to accept offers and bind the artist without prior approval.,,
brand-sponsorship-agreement,Brand Sponsorship Agreement,sourced,brand_and_content,Artist | Brand,name_image_likeness | exclusivity_noncompete | income_royalty_recoupment,"Sponsorship fee structure and payment schedule | Performance bonuses/milestones, if any (streams, event attendance, social metrics)","What exactly is licensed — name, likeness, music, social content — and for what use (events, advertising, product packaging) | Term length and renewal terms","Category exclusivity (artist can't endorse a competing brand) | Creative approval over how the brand uses the artist's name/image | Morals/reputation clause — mutual, not one-sided","What's the campaign scope — single activation, ongoing partnership, tour sponsorship? | What's the fee and payment schedule, and are there performance bonuses? | What exclusivity is the brand asking for, and does it conflict with any existing deals? | Does the artist want a morals clause to be mutual (either side can exit for cause)?",brand-sponsorship-agreement.md,brand-sponsorship-agreement-questionnaire.md,https://github.com/[YOUR-REPO]/blob/main/skills/music-contract-agent/references/templates/brand-sponsorship-agreement.md,https://github.com/[YOUR-REPO]/blob/main/skills/music-contract-agent/references/questionnaires/brand-sponsorship-agreement-questionnaire.md,https://github.com/[YOUR-REPO]/blob/main/skills/music-contract-agent/references/contracts/brand-sponsorship-agreement.yaml,red,"one-sided morals clause that lets the brand terminate for any reputational issue, with no equivalent protection for the artist if the brand does something damaging.",yellow,broad category exclusivity with no carve-out for the artist's existing deals.,,,,
copyright-license-agreement,Copyright License Agreement (Mechanical/Publisher License),sourced,licensing,Publisher | Company,composition_publishing | income_royalty_recoupment | term_renewal_termination,Royalty rate per record/stream/unit sold | Accounting frequency and cure period if payments are late,"Non-exclusive vs. exclusive license, and to which specific recording/artist/label — should be narrowly scoped, not blanket rights to the composition","What happens if the licensee stops paying — cancellation rights, and whether that ends only the license or also the underlying obligations","What specific recording, artist, and label is this license limited to? | What per-unit royalty rate was agreed? | How often should royalty statements be sent?",copyright-license-agreement.md,copyright-license-agreement-questionnaire.md,https://github.com/[YOUR-REPO]/blob/main/skills/music-contract-agent/references/templates/copyright-license-agreement.md,https://github.com/[YOUR-REPO]/blob/main/skills/music-contract-agent/references/questionnaires/copyright-license-agreement-questionnaire.md,https://github.com/[YOUR-REPO]/blob/main/skills/music-contract-agent/references/contracts/copyright-license-agreement.yaml,yellow,license not limited to a specific artist/recording/label — could be read as broader than intended.,green,built-in cancellation-on-nonpayment clause protects the publisher.,,,,
dj-booking-agreement,DJ Booking Agreement,sourced,live_performance_and_venue,DJ | Venue or Promoter,income_royalty_recoupment | term_renewal_termination,"Total fee, deposit amount and due date, balance due date (usually night of show) | Travel, lodging, and hospitality rider costs — who pays","Confirms this is a performance service, not a transfer of any recording or composition rights",Set length and time slot | Exclusivity radius (can the DJ play another show nearby before/after this date?) | Cancellation policy for both sides and refund of deposit,"What's the date, venue, and set length/time slot? | What's the total fee, deposit amount, and when is the balance due? | Is there a radius clause restricting other local shows around this date? | What happens if either side needs to cancel — refund policy and notice period?",dj-booking-agreement.md,dj-booking-agreement-questionnaire.md,https://github.com/[YOUR-REPO]/blob/main/skills/music-contract-agent/references/templates/dj-booking-agreement.md,https://github.com/[YOUR-REPO]/blob/main/skills/music-contract-agent/references/questionnaires/dj-booking-agreement-questionnaire.md,https://github.com/[YOUR-REPO]/blob/main/skills/music-contract-agent/references/contracts/dj-booking-agreement.yaml,yellow,no cancellation/force majeure clause — DJ has no protection if the venue cancels last-minute.,yellow,deposit non-specified — always get a deposit for club/private bookings.,,,,
exclusive-beat-license-agreement,Exclusive Beat License Agreement,original,licensing,Producer | Artist,composition_publishing | sound_recording_master | income_royalty_recoupment,Purchase price and payment schedule (deposit vs. full payment) | Whether a separate publishing split applies on top of the purchase price,"Clarify up front: is this an exclusive LICENSE (producer keeps underlying copyright, artist can't resell the beat itself) or a full BUYOUT (producer assigns copyright entirely)? These are priced very differently and the template defaults to license unless Section 4(c) is activated. | Confirm whether the beat is being removed from beat-store/marketplace listings once paid — this is what 'exclusive' actually means operationally, not just legally",Reversion window if the artist never releases anything using the beat | Producer credit requirement and exact tag wording,"Is this a full buyout (producer keeps nothing) or an exclusive license (producer keeps underlying ownership but can't sell to anyone else)? | What's the purchase price, and is it paid upfront or as a deposit + balance on delivery? | What publishing percentage does the producer keep on the finished song? | Is there a deadline by which the artist needs to release something, after which the producer can take the beat back?",exclusive-beat-license-agreement.md,exclusive-beat-license-agreement-questionnaire.md,https://github.com/[YOUR-REPO]/blob/main/skills/music-contract-agent/references/templates/exclusive-beat-license-agreement.md,https://github.com/[YOUR-REPO]/blob/main/skills/music-contract-agent/references/questionnaires/exclusive-beat-license-agreement-questionnaire.md,https://github.com/[YOUR-REPO]/blob/main/skills/music-contract-agent/references/contracts/exclusive-beat-license-agreement.yaml,yellow,"are they aware they're giving up the right to sell this beat to anyone else, permanently, for this price? Producers sometimes under-price exclusives without registering what they're giving up.",yellow,"no reversion clause — if the artist never uses the beat, the producer is locked out of ever selling it again with no time limit.",yellow,"publishing split percentage left blank — this is a real revenue stream, not boilerplate; don't let it default silently.",,
independent-contractor-agreement,Independent Contractor Agreement (General Services),original,protective_and_general,Client | Contractor,composition_publishing | confidentiality | income_royalty_recoupment,"Flat fee, retainer, or per-session rate | Payment schedule and reimbursable-expense pre-approval","This is the catch-all template — use it for PR, marketing, social media management, or single-date session work that doesn't have its own dedicated template. The single most important decision is Section 5: work-for-hire (client owns everything) vs. licensed use (contractor keeps ownership, client gets a license).","Deliverables, deadlines, and included revision rounds | Term and notice period to terminate | Whether the contractor is free to work with other clients (should be yes, by default, unless real exclusivity is negotiated and paid for)","What specific services, deliverables, and deadlines are involved? | What's the fee structure — flat fee, retainer, or per-session? | Should the deliverables be a full work-for-hire buyout, or does the contractor keep ownership and license use to the client? | Is any exclusivity actually intended, or is the contractor free to work with others?",independent-contractor-agreement.md,independent-contractor-agreement-questionnaire.md,https://github.com/[YOUR-REPO]/blob/main/skills/music-contract-agent/references/templates/independent-contractor-agreement.md,https://github.com/[YOUR-REPO]/blob/main/skills/music-contract-agent/references/questionnaires/independent-contractor-agreement-questionnaire.md,https://github.com/[YOUR-REPO]/blob/main/skills/music-contract-agent/references/contracts/independent-contractor-agreement.yaml,yellow,— a contractor should never end up in a work-for-hire arrangement by default without understanding they're giving up all future rights to what they create.,yellow,"independent contractor status claimed but the actual working relationship looks like employment (set hours, exclusive availability, day-to-day supervision) — this can create real legal risk for the hiring party depending on jurisdiction; flag it rather than silently drafting around it.",,,,
influencer-content-creator-agreement,Influencer / Content Creator Agreement,sourced,brand_and_content,Creator | Brand,name_image_likeness | exclusivity_noncompete | income_royalty_recoupment,Flat fee vs. performance-based (affiliate/commission) compensation | Payment schedule tied to deliverables,"What usage rights does the brand get to the content — organic posting only, or paid ad usage ('whitelisting'), and for how long? | Does the brand own the content, or just license it?","Number and type of deliverables (posts, stories, videos) and approval/revision process | Required FTC disclosure language (#ad, #sponsored) | Category exclusivity (can't promote a competing brand for X period)","What deliverables are expected (# of posts, platform, format) and by when? | Is the brand asking to run the content as paid ads ('whitelisting')? If so, that needs separate, time-limited compensation. | Is there a category exclusivity requirement, and for how long? | What's the payment structure — flat fee, commission, or both?",influencer-content-creator-agreement.md,influencer-content-creator-agreement-questionnaire.md,https://github.com/[YOUR-REPO]/blob/main/skills/music-contract-agent/references/templates/influencer-content-creator-agreement.md,https://github.com/[YOUR-REPO]/blob/main/skills/music-contract-agent/references/questionnaires/influencer-content-creator-agreement-questionnaire.md,https://github.com/[YOUR-REPO]/blob/main/skills/music-contract-agent/references/contracts/influencer-content-creator-agreement.yaml,red,"perpetual, unlimited paid-ad usage rights to the creator's likeness/content for a one-time flat fee — this is usually worth significantly more and should be priced separately or time-limited.",yellow,"no FTC disclosure requirement written into the contract — legal risk for the creator, not just the brand.",yellow,broad exclusivity/non-compete with no time limit.,,
